Category	Term	Count	List Total	Pop Hits	Pop Total	p-value	q-value
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	76	277	1706	18082	4.205984364729548e-18	4.005842967187352e-16
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	61	277	1143	18082	4.2843240290773816e-18	4.005842967187352e-16
GOTERM_BP_DIRECT	GO:0007165~signal transduction	35	277	1255	18082	0.0004274539598576763	0.009991736311673183
GOTERM_BP_DIRECT	GO:0050896~response to stimulus	12	277	211	18082	0.00010449564737547569	0.004885171514803489
GOTERM_BP_DIRECT	GO:0050907~detection of chemical stimulus involved in sensory perception	11	277	206	18082	0.0003475850305284511	0.009285485815545766
GOTERM_BP_DIRECT	GO:0030216~keratinocyte differentiation	7	277	85	18082	0.0003270815367783129	0.009285485815545766
GOTERM_BP_DIRECT	GO:0007271~synaptic transmission, cholinergic	6	277	30	18082	5.3364627403737215e-06	0.00033263951081662866
GOTERM_BP_DIRECT	GO:0018149~peptide cross-linking	6	277	56	18082	0.00020908290825108085	0.007819700768590423
GOTERM_BP_DIRECT	GO:0007586~digestion	4	277	33	18082	0.001554221496304862	0.026421765437182654
GOTERM_BP_DIRECT	GO:0046928~regulation of neurotransmitter secretion	3	277	20	18082	0.0033423751825779426	0.04498345322404564
GOTERM_BP_DIRECT	GO:0046952~ketone body catabolic process	2	277	4	18082	0.0013747513340480126	0.025707849946697836
GOTERM_BP_DIRECT	GO:0048630~skeletal muscle tissue growth	2	277	4	18082	0.0013747513340480126	0.025707849946697836
GOTERM_BP_DIRECT	GO:0007635~chemosensory behavior	2	277	5	18082	0.0022680763049125353	0.035344189084887005
GOTERM_BP_DIRECT	GO:0021516~dorsal spinal cord development	2	277	6	18082	0.0033677451611584977	0.04498345322404564
GOTERM_BP_DIRECT	GO:0007207~phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway	2	277	7	18082	0.004667271957503322	0.045935781897532696
GOTERM_BP_DIRECT	GO:0007197~adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway	2	277	7	18082	0.004667271957503322	0.045935781897532696
GOTERM_BP_DIRECT	GO:0050881~musculoskeletal movement	2	277	7	18082	0.004667271957503322	0.045935781897532696
GOTERM_BP_DIRECT	GO:0001867~complement activation, lectin pathway	2	277	7	18082	0.004667271957503322	0.045935781897532696
GOTERM_BP_DIRECT	GO:0051971~positive regulation of transmission of nerve impulse	2	277	7	18082	0.004667271957503322	0.045935781897532696
