FeatureNum	ProbeName	GeneSymbol
1	GE_BrightCorner	
2	DarkCorner	
3	DarkCorner	
4	A_55_P2051983	Spink7
5	A_52_P169082	Dbil5
6	A_30_P01028193	
7	A_52_P237997	Negr1
8	A_51_P414243	Pomgnt2
9	A_55_P2136348	Ccr8
10	A_51_P108228	Chrna7
11	A_30_P01033363	
12	A_55_P2049737	Gm46779
13	A_30_P01024440	
14	A_30_P01025554	
15	A_30_P01031558	
16	A_30_P01030675	
17	A_51_P328014	Cops3
18	A_30_P01019108	
19	A_55_P2056220	
20	A_55_P1985764	
21	A_52_P108321	Ccdc71
22	A_55_P2018002	Abcg4
23	A_52_P123354	Tusc2
24	A_30_P01023685	
25	A_55_P2061724	Smad4
26	A_55_P2049122	Tm6sf2
27	ERCC-00014_76	
28	A_30_P01020389	
29	A_55_P1988844	Klrg1
30	A_51_P385099	Tnf
31	A_55_P2111005	Pafah1b1
32	A_30_P01029364	
33	A_55_P2041509	1110004F10Rik
34	A_55_P1985294	LOC105243090
35	A_55_P2242690	D2Ertd127e
36	A_30_P01029765	
37	A_55_P2364211	2810428J06Rik
38	A_55_P1975977	
39	ERCC-00165_60	
40	A_51_P358243	Tstd3
41	A_55_P2252586	3426406K10Rik
42	A_30_P01020720	
43	A_55_P2153545	
44	A_30_P01025927	
45	ERCC-00136_67	
46	A_55_P1999972	
47	A_55_P2036031	Gm2675
48	A_55_P2073699	Bnip3l
49	A_51_P452153	Mzb1
50	A_52_P289213	Notch2
51	A_30_P01028667	
52	A_30_P01026843	
53	A_52_P117601	Defb19
54	A_30_P01026156	
55	A_55_P2087013	Hipk1
56	A_30_P01021140	
57	A_55_P2086143	Cyp39a1
58	A_30_P01022210	
59	A_55_P2033932	Zzz3
60	A_51_P111488	Gfod2
61	A_55_P2433218	Bloc1s6
62	A_30_P01030870	
63	A_55_P2157676	Wdr34
64	A_55_P2069781	
65	A_30_P01019449	
66	A_55_P2137336	Mrfap1
67	A_55_P2279572	C79015
68	A_30_P01023723	
69	A_30_P01033167	
70	A_51_P168695	Mast4
71	A_30_P01027779	
72	A_55_P2167530	Scube3
73	A_30_P01024579	
74	A_52_P204689	Map4k2
75	A_55_P2218748	C77488
76	A_55_P2143616	Cfap65
77	ERCC-00158_78	
78	A_30_P01031589	
79	A_30_P01033198	
80	A_52_P49014	Shh
81	A_55_P2110215	Ckap5
82	A_55_P2007205	
83	A_51_P204740	Cd34
84	A_55_P1991585	Blvrb
85	A_55_P2158836	Toporsl
86	A_55_P2086797	Olfr462
87	A_55_P2170350	Klra22
88	A_30_P01021693	
89	ERCC-00042_60	
90	A_51_P106952	Rbm26
91	A_30_P01024335	
92	A_55_P2335045	Gm2824
93	A_30_P01029862	
94	A_30_P01027625	
95	ERCC-00002_129	
96	A_52_P604735	Fbxl2
97	A_30_P01020302	
98	A_55_P2083725	
99	A_30_P01023984	
100	A_55_P2184108	
101	A_55_P1958097	Eno1
102	A_55_P1962224	Afap1l2
103	A_30_P01018954	
104	A_55_P1952434	Tm2d1
105	A_55_P1955242	
106	A_55_P1985950	Xpnpep2
107	A_55_P2011091	
108	A_55_P2186085	Atp11c
109	A_30_P01032907	
110	A_30_P01029867	
111	A_55_P2046852	Gata1
112	A_55_P1965358	9430091E24Rik
113	A_55_P2108825	
114	A_52_P95577	Skint2
115	A_30_P01021023	
116	A_66_P114577	Olfr616
117	A_55_P2176989	Stx8
118	A_30_P01025937	
119	A_55_P1955078	Igflr1
120	ERCC-00018_67	
121	A_52_P438082	Cebpg
122	A_66_P114169	Gm7904
123	A_55_P1957613	Ak2
124	A_55_P2109347	Dot1l
125	A_30_P01018787	
126	A_30_P01030780	
127	A_30_P01018803	
128	A_30_P01018668	
129	A_55_P2111292	3110009E18Rik
130	A_55_P2084601	
131	A_55_P1956687	Rab37
132	A_51_P104681	Krtap6-5
133	A_55_P2124736	Col14a1
134	A_52_P180335	Mrpl28
135	A_55_P2051429	
136	A_51_P101765	Smarcd1
137	A_52_P222230	Gm40525
138	A_51_P483576	
139	A_55_P2372228	Mir142hg
140	A_51_P436201	Gart
141	A_51_P108228	Chrna7
142	A_66_P122433	Fam228a
143	A_55_P2055055	4930547M16Rik
144	A_30_P01023752	
145	A_51_P104897	Itpr3
146	A_55_P2040490	
147	A_55_P2253348	Galnt7
148	A_55_P2007377	Elf2
149	A_55_P2110250	Rd3l
150	A_51_P330428	Eif4ebp1
151	A_55_P2419171	
152	A_55_P2124923	Gm10436
153	A_66_P109673	Sh2b3
154	A_55_P2008896	
155	A_30_P01030312	
156	A_55_P2232410	AI195470
157	A_30_P01027288	
158	A_51_P397876	En2
159	A_30_P01022060	
160	A_55_P2117579	Ppih
161	A_51_P156800	Mob2
162	DarkCorner	
163	GE_BrightCorner	
164	GE_BrightCorner	
165	GE_BrightCorner	
166	DarkCorner	
167	A_30_P01023440	
168	A_55_P2117741	Nck2
169	A_66_P135885	Olfr671
170	A_30_P01030160	
171	A_30_P01021134	
172	A_55_P2145706	Thoc7
173	A_55_P2049949	
174	A_51_P327657	Ifi44l
175	A_55_P2354675	1700011B04Rik
176	A_55_P2045765	Rnf224
177	A_55_P2170881	Arhgap26
178	A_30_P01021553	
179	A_55_P1969560	
180	A_55_P2035789	
181	A_30_P01022993	
182	A_30_P01021899	
183	A_51_P195506	Csf1
184	A_52_P259817	Upp2
185	A_30_P01017751	
186	A_30_P01018616	
187	A_55_P2172375	
188	A_30_P01022097	
189	A_55_P2002165	Sumo3
190	A_30_P01029814	
191	A_55_P2138071	
192	A_51_P126337	Fgf12
193	A_55_P2165120	Cblb
194	A_55_P2006255	Txnip
195	ERCC-00009_60	
196	A_55_P2087607	Cp
197	A_30_P01026850	
198	ERCC-00051_60	
199	A_30_P01020040	
200	A_52_P142208	Akirin1
201	A_51_P124254	Col4a1
202	A_55_P1975445	
203	A_30_P01033257	
204	A_55_P1971448	Snrpd1
205	A_51_P130095	Fcgr2b
206	A_55_P2022622	
207	A_55_P2123012	AA667203
208	A_52_P501049	BC002059
209	ERCC-00018_67	
210	(+)E1A_r60_a22	
211	A_55_P2183672	Pebp1
212	A_66_P129769	Sik2
213	A_55_P2100830	Sprtn
214	A_30_P01030309	
215	A_30_P01018792	
216	A_52_P588771	Ntn5
217	A_30_P01030301	
218	A_55_P2008996	Gm10034
219	A_52_P6451	Sec24a
220	A_30_P01024162	
221	A_55_P2154480	Ctxn2
222	A_55_P2140328	
223	A_55_P2110532	4930578E11Rik
224	A_30_P01026277	
225	A_52_P306236	Epha7
226	A_30_P01029410	
227	A_55_P2383283	2310001H17Rik
228	A_55_P2188624	4933409D19Rik
229	A_55_P2087518	Exoc8
230	A_55_P1970954	Pknox2
231	A_52_P329398	Atp12a
232	A_55_P2328787	6030451C04Rik
233	A_66_P120567	Anxa1
234	A_55_P2038640	Gcn1l1
235	A_55_P2091831	Krtap1-4
236	A_51_P100298	Stx3
237	A_55_P2255399	F630048H11Rik
238	A_55_P2173952	Myh6
239	A_30_P01021519	
240	A_51_P113906	Gkn2
241	A_55_P2032024	Uggt2
242	A_51_P401386	Gm10610
243	A_51_P116088	Rexo2
244	A_30_P01028923	
245	A_51_P114634	Amz1
246	A_51_P122238	Uchl5
247	A_51_P114616	Batf
248	A_52_P120122	
249	A_51_P474658	Esr1
250	A_55_P2185676	Ssty1
251	A_30_P01024186	
252	A_30_P01017954	
253	A_66_P115757	Mthfd2l
254	A_55_P2094324	Olfr486
255	A_30_P01020068	
256	A_52_P266320	Akap17b
257	A_55_P2001753	
258	A_30_P01026173	
259	A_55_P2136606	Crnn
260	A_55_P2065074	Hdac9
261	A_30_P01029687	
262	A_51_P125691	Cdca4
263	A_52_P643087	Olfr315
264	A_51_P117236	Zfp354a
265	A_51_P519251	Nupr1
266	A_52_P476431	Evc
267	A_55_P2047168	Notch1
268	A_55_P2064180	Hormad1
269	A_55_P2031966	Fbxo39
270	A_51_P476960	Csmd3
271	ERCC-00148_99	
272	A_55_P2037643	
273	A_55_P1955701	Gm6146
274	A_66_P135165	Nfib
275	A_55_P2129691	AB124611
276	A_51_P112734	Slc7a8
277	A_55_P2025203	Hrasls5
278	A_30_P01027714	
279	A_55_P2017964	Unc13a
280	A_30_P01030671	
281	A_30_P01020443	
282	ERCC-00081_60	
283	A_30_P01018957	
284	A_55_P2045777	
285	A_55_P2059860	Igsf1
286	A_55_P1953003	Atp6v0a4
287	A_51_P126365	Gzmn
288	A_55_P1955532	Tfr2
289	A_55_P2070786	Mrps14
290	A_55_P2027412	
291	A_51_P117087	Kcnip1
292	A_51_P144770	2410002F23Rik
293	A_51_P120589	Olfr181
294	A_55_P2404808	2210406H18Rik
295	A_30_P01020409	
296	A_30_P01025161	
297	A_52_P114282	Armcx5
298	A_55_P1978018	Gm5795
299	A_30_P01031829	
300	A_55_P2045824	Speer3
301	A_30_P01020248	
302	A_52_P66520	Clec12a
303	A_55_P2081273	Gabbr2
304	A_52_P365011	Fes
