Category	Term	Count	List Total	Pop Hits	Pop Total	p-value	q-value
GOTERM_BP_DIRECT	GO:0002376~immune system process	3	10	383	18082	0.0010128515695132746	0.0027009375187020657
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	3	10	729	18082	0.006331706207994305	0.011256366591989876
GOTERM_BP_DIRECT	GO:0035457~cellular response to interferon-alpha	2	10	12	18082	1.811491138278283e-05	0.0002898385821245253
GOTERM_BP_DIRECT	GO:0010332~response to gamma radiation	2	10	34	18082	0.00015298048434294565	0.0011901143834195135
GOTERM_BP_DIRECT	GO:0030217~T cell differentiation	2	10	41	18082	0.00022314644689115878	0.0011901143834195135
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	2	10	79	18082	0.0008290823464214769	0.0027009375187020657
GOTERM_BP_DIRECT	GO:0048661~positive regulation of smooth muscle cell proliferation	2	10	80	18082	0.000850089945693825	0.0027009375187020657
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	2	10	101	18082	0.00135013573256031	0.003086024531566423
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	2	10	117	18082	0.001805713743675047	0.003611427487350094
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	2	10	265	18082	0.008909993303685712	0.01425598928589714
GOTERM_BP_DIRECT	GO:0001701~in utero embryonic development	2	10	299	18082	0.0112345078252898	0.01634110229133062
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	2	10	576	18082	0.038478236600172626	0.04826480408724373
GOTERM_BP_DIRECT	GO:0006508~proteolysis	2	10	582	18082	0.03921515332088553	0.04826480408724373
